data_e_ora,prec(mm/h),prec2(mm/h),urel(%),press(hPa),temp(C),temp2(C),dir(gradi_da_nord),dir2(gradi_da_nord),vel(m/s),vel2(m/s),radG(W/m^2),radN(W/m^2)
2013-06-26 00:00,0,-999.0,53.17,-999.0,10.58,-999.0,255.7,-999.0,-999.0,-999.0,0,-999.0
2013-06-26 01:00,0,-999.0,53,-999.0,10.22,-999.0,223.22,-999.0,-999.0,-999.0,0,-999.0
2013-06-26 02:00,0,-999.0,52.33,-999.0,9.87,-999.0,206.76,-999.0,-999.0,-999.0,0,-999.0
2013-06-26 03:00,0,-999.0,49.5,-999.0,9.77,-999.0,218.4,-999.0,-999.0,-999.0,0,-999.0
2013-06-26 04:00,0,-999.0,49.83,-999.0,9.27,-999.0,221.21,-999.0,-999.0,-999.0,0,-999.0
2013-06-26 05:00,0,-999.0,50.33,-999.0,8.75,-999.0,94.87,-999.0,-999.0,-999.0,0,-999.0
2013-06-26 06:00,0,-999.0,48.5,-999.0,8.82,-999.0,281.63,-999.0,-999.0,-999.0,32.17,-999.0
2013-06-26 07:00,0,-999.0,46.67,-999.0,9.67,-999.0,231.54,-999.0,-999.0,-999.0,113.67,-999.0
2013-06-26 08:00,0,-999.0,39.67,-999.0,12.78,-999.0,228.9,-999.0,-999.0,-999.0,452.33,-999.0
2013-06-26 09:00,0,-999.0,40.17,-999.0,15.32,-999.0,356.25,-999.0,-999.0,-999.0,619.83,-999.0
2013-06-26 10:00,0,-999.0,41.33,-999.0,13.83,-999.0,81.52,-999.0,-999.0,-999.0,316.5,-999.0
2013-06-26 11:00,0,-999.0,40.33,-999.0,14.55,-999.0,197.39,-999.0,-999.0,-999.0,641.83,-999.0
2013-06-26 12:00,0,-999.0,39.6,-999.0,14.96,-999.0,225.59,-999.0,-999.0,-999.0,564.8,-999.0
2013-06-26 13:00,0,-999.0,41.67,-999.0,14.82,-999.0,224.66,-999.0,-999.0,-999.0,562.5,-999.0
2013-06-26 14:00,0,-999.0,40.67,-999.0,15.8,-999.0,233.95,-999.0,-999.0,-999.0,698.5,-999.0
2013-06-26 15:00,0,-999.0,41.83,-999.0,16.48,-999.0,225.45,-999.0,-999.0,-999.0,684.33,-999.0
2013-06-26 16:00,0,-999.0,38,-999.0,18.1,-999.0,245.47,-999.0,-999.0,-999.0,846.5,-999.0
2013-06-26 17:00,0,-999.0,32.8,-999.0,18.44,-999.0,274.63,-999.0,-999.0,-999.0,688.8,-999.0
2013-06-26 18:00,0,-999.0,32.83,-999.0,16.72,-999.0,267.81,-999.0,-999.0,-999.0,263.5,-999.0
2013-06-26 19:00,0,-999.0,44.5,-999.0,15.25,-999.0,252.38,-999.0,-999.0,-999.0,194.5,-999.0
2013-06-26 20:00,0,-999.0,47.5,-999.0,14.18,-999.0,285.84,-999.0,-999.0,-999.0,50,-999.0
2013-06-26 21:00,0,-999.0,62.33,-999.0,11.42,-999.0,150.68,-999.0,-999.0,-999.0,0,-999.0
2013-06-26 22:00,0,-999.0,64.67,-999.0,10.35,-999.0,122.74,-999.0,-999.0,-999.0,0,-999.0
2013-06-26 23:00,0,-999.0,62.83,-999.0,10.27,-999.0,160.76,-999.0,-999.0,-999.0,0,-999.0
2013-06-27 00:00,0,-999.0,65.67,-999.0,10.3,-999.0,125.55,-999.0,-999.0,-999.0,0,-999.0
2013-06-27 01:00,0,-999.0,62.5,-999.0,10.07,-999.0,110.38,-999.0,-999.0,-999.0,0,-999.0
2013-06-27 02:00,0,-999.0,63.17,-999.0,10.1,-999.0,122.1,-999.0,-999.0,-999.0,0,-999.0
2013-06-27 03:00,0,-999.0,67.5,-999.0,9.62,-999.0,117.13,-999.0,-999.0,-999.0,0,-999.0
2013-06-27 04:00,0,-999.0,70.33,-999.0,9.45,-999.0,132.8,-999.0,-999.0,-999.0,0,-999.0
2013-06-27 05:00,0,-999.0,73.83,-999.0,9.1,-999.0,127.98,-999.0,-999.0,-999.0,0,-999.0
2013-06-27 06:00,0,-999.0,74,-999.0,9.13,-999.0,138.94,-999.0,-999.0,-999.0,42.83,-999.0
2013-06-27 07:00,0,-999.0,74.67,-999.0,9.57,-999.0,191.85,-999.0,-999.0,-999.0,117.5,-999.0
2013-06-27 08:00,0,-999.0,75.5,-999.0,9.78,-999.0,197.15,-999.0,-999.0,-999.0,190.83,-999.0
2013-06-27 09:00,0,-999.0,71.33,-999.0,10.77,-999.0,207.6,-999.0,-999.0,-999.0,252.83,-999.0
2013-06-27 10:00,0,-999.0,72.4,-999.0,10.76,-999.0,255.8,-999.0,-999.0,-999.0,191.4,-999.0
2013-06-27 11:00,0,-999.0,68.5,-999.0,12.1,-999.0,272.32,-999.0,-999.0,-999.0,289.83,-999.0
2013-06-27 12:00,0,-999.0,67.83,-999.0,12.73,-999.0,270.92,-999.0,-999.0,-999.0,292,-999.0
2013-06-27 13:00,0,-999.0,68.2,-999.0,12.46,-999.0,243.39,-999.0,-999.0,-999.0,191.6,-999.0
