data_e_ora,prec(mm/h),prec2(mm/h),urel(%),press(hPa),temp(C),temp2(C),dir(gradi_da_nord),dir2(gradi_da_nord),vel(m/s),vel2(m/s),radG(W/m^2),radN(W/m^2)
2013-06-26 00:00,0,-999.0,41.88,994.65,18.32,-999.0,102.77,98.65,3.69,-999.0,-999.0,-999.0
2013-06-26 01:00,0,-999.0,47.45,994.79,17.3,-999.0,92.81,89.77,3.24,-999.0,-999.0,-999.0
2013-06-26 02:00,0,-999.0,51.88,994.79,16.29,-999.0,93.2,93.42,2.81,-999.0,-999.0,-999.0
2013-06-26 03:00,0,-999.0,48.23,994.6,16.29,-999.0,84.4,89.82,2.28,-999.0,-999.0,-999.0
2013-06-26 04:00,0,-999.0,53.57,994.56,15.2,-999.0,102.26,99.33,2.86,-999.0,-999.0,-999.0
2013-06-26 05:00,0,-999.0,54.24,994.67,14.87,-999.0,100.92,100.22,2.62,-999.0,-999.0,-999.0
2013-06-26 06:00,0,-999.0,56.59,994.76,14.41,-999.0,93.46,94.36,2.41,-999.0,-999.0,-999.0
2013-06-26 07:00,0,-999.0,58.46,994.97,15.12,-999.0,83.59,90.42,2.84,-999.0,-999.0,-999.0
2013-06-26 08:00,0,-999.0,51.98,995.05,17.35,-999.0,92.53,90.39,2.75,-999.0,-999.0,-999.0
2013-06-26 09:00,0,-999.0,42.01,995.07,20,-999.0,84.18,81.67,1.79,-999.0,-999.0,-999.0
2013-06-26 10:00,0,-999.0,29.64,994.73,22.39,-999.0,107.89,99.47,2.1,-999.0,-999.0,-999.0
2013-06-26 11:00,0,-999.0,25.96,994.55,23.9,-999.0,102.29,97.78,2.49,-999.0,-999.0,-999.0
2013-06-26 12:00,0,-999.0,23.9,994.36,24.89,-999.0,93.26,76.26,1.97,-999.0,-999.0,-999.0
2013-06-26 13:00,0,-999.0,21.62,994.03,25.72,-999.0,35.24,33.46,2.95,-999.0,-999.0,-999.0
2013-06-26 14:00,0,-999.0,20.62,993.64,26.02,-999.0,26.57,23.95,3.3,-999.0,-999.0,-999.0
2013-06-26 15:00,0,-999.0,19.33,993.43,25.96,-999.0,12.05,20.81,3.28,-999.0,-999.0,-999.0
2013-06-26 16:00,0,-999.0,18.07,993.29,26.02,-999.0,29.52,24.52,3.72,-999.0,-999.0,-999.0
2013-06-26 17:00,0,-999.0,17.8,993.22,25.1,-999.0,13.24,18.34,3.96,-999.0,-999.0,-999.0
2013-06-26 18:00,0,-999.0,18.15,993.3,24.73,-999.0,15.3,23.57,3.61,-999.0,-999.0,-999.0
2013-06-26 19:00,0,-999.0,19.69,993.55,23.78,-999.0,21.21,36.99,2.37,-999.0,-999.0,-999.0
2013-06-26 20:00,0,-999.0,21.22,994.14,22.14,-999.0,95.51,71.08,2.01,-999.0,-999.0,-999.0
2013-06-26 21:00,0,-999.0,23.91,994.85,20.7,-999.0,83.8,85.02,1.74,-999.0,-999.0,-999.0
2013-06-26 22:00,0,-999.0,25.59,995.66,19.73,-999.0,139.78,141.46,0.71,-999.0,-999.0,-999.0
2013-06-26 23:00,0,-999.0,26.03,996.03,19.62,-999.0,110.38,99.85,2.55,-999.0,-999.0,-999.0
2013-06-27 00:00,0,-999.0,27.34,996.47,19.04,-999.0,102.54,95.4,2.63,-999.0,-999.0,-999.0
2013-06-27 01:00,0,-999.0,29.84,996.61,18.06,-999.0,101.84,96.18,2.12,-999.0,-999.0,-999.0
2013-06-27 02:00,0,-999.0,37.14,996.81,16.19,-999.0,99.07,93.11,1.9,-999.0,-999.0,-999.0
2013-06-27 03:00,0,-999.0,46.63,996.72,13.93,-999.0,273.28,46.99,0.16,-999.0,-999.0,-999.0
2013-06-27 04:00,0,-999.0,51.55,996.52,13.21,-999.0,53.08,51.07,0.96,-999.0,-999.0,-999.0
2013-06-27 05:00,0,-999.0,52.46,996.69,12.9,-999.0,103.72,90.2,1.27,-999.0,-999.0,-999.0
2013-06-27 06:00,0,-999.0,58.39,996.78,12.34,-999.0,19.44,43.73,0.54,-999.0,-999.0,-999.0
2013-06-27 07:00,0,-999.0,51.3,996.72,14.15,-999.0,67.14,77.36,1.35,-999.0,-999.0,-999.0
2013-06-27 08:00,0,-999.0,48.67,996.48,15.25,-999.0,87.78,80.74,1.25,-999.0,-999.0,-999.0
2013-06-27 09:00,0,-999.0,46.37,996.44,16.36,-999.0,67.8,343.41,0.61,-999.0,-999.0,-999.0
2013-06-27 10:00,0,-999.0,44.57,996.12,16.53,-999.0,297.07,294.49,1.29,-999.0,-999.0,-999.0
2013-06-27 11:00,0,-999.0,36.94,995.72,17.94,-999.0,314.18,308.37,0.86,-999.0,-999.0,-999.0
2013-06-27 12:00,0,-999.0,39.35,995.16,18.44,-999.0,279.66,290.85,1.75,-999.0,-999.0,-999.0
2013-06-27 13:00,0,-999.0,44.94,994.4,19.04,-999.0,292.82,295.28,1.75,-999.0,-999.0,-999.0
2013-06-27 14:00,0,-999.0,52.97,993.86,18.32,-999.0,304.56,301.47,3.73,-999.0,-999.0,-999.0
2013-06-27 15:00,0,-999.0,59.51,993.39,17.55,-999.0,289.21,298.26,3.47,-999.0,-999.0,-999.0
2013-06-27 16:00,0,-999.0,62.26,993.21,16.88,-999.0,264.89,270.18,3.28,-999.0,-999.0,-999.0
2013-06-27 17:00,0.2,-999.0,73.74,993.62,15.39,-999.0,251.22,247.77,1.71,-999.0,-999.0,-999.0
