data_e_ora,prec(mm/h),prec2(mm/h),urel(%),press(hPa),temp(C),temp2(C),dir(gradi_da_nord),dir2(gradi_da_nord),vel(m/s),vel2(m/s),radG(W/m^2),radN(W/m^2)
2013-06-26 00:00,0,-999.0,52.24,991.54,16.8,-999.0,147.69,144.89,1.56,-999.0,-999.0,-999.0
2013-06-26 01:00,0,-999.0,53.79,991.67,16.02,-999.0,154.77,151.41,1.76,-999.0,-999.0,-999.0
2013-06-26 02:00,0,-999.0,53.57,991.63,15.59,-999.0,138.79,137.63,1.74,-999.0,-999.0,-999.0
2013-06-26 03:00,0,-999.0,56.17,991.41,14.76,-999.0,125.82,121.42,1.9,-999.0,-999.0,-999.0
2013-06-26 04:00,0,-999.0,57.06,991.43,14.25,-999.0,124.08,122.87,1.7,-999.0,-999.0,-999.0
2013-06-26 05:00,0,-999.0,57.38,991.52,13.83,-999.0,123.05,123.18,1.68,-999.0,-999.0,-999.0
2013-06-26 06:00,0,-999.0,57.89,991.73,13.84,-999.0,125.8,117.79,1.76,-999.0,-999.0,-999.0
2013-06-26 07:00,0,-999.0,55.76,991.85,14.75,-999.0,131.68,121.95,1.85,-999.0,-999.0,-999.0
2013-06-26 08:00,0,-999.0,50.48,991.76,16.67,-999.0,113.85,111.36,1.82,-999.0,-999.0,-999.0
2013-06-26 09:00,0,-999.0,43.61,991.63,18.63,-999.0,102.95,104.57,2.25,-999.0,-999.0,-999.0
2013-06-26 10:00,0,-999.0,36.49,991.22,21.22,-999.0,86.47,100.2,1.39,-999.0,-999.0,-999.0
2013-06-26 11:00,0,-999.0,28.56,990.83,23.22,-999.0,303.48,311.39,1.94,-999.0,-999.0,-999.0
2013-06-26 12:00,0,-999.0,24.75,990.5,23.74,-999.0,296.24,310.14,3.28,-999.0,-999.0,-999.0
2013-06-26 13:00,0,-999.0,23.42,990.21,24.7,-999.0,293.36,309.09,3.41,-999.0,-999.0,-999.0
2013-06-26 14:00,0,-999.0,22.57,989.8,25.2,-999.0,286.03,303.44,3.1,-999.0,-999.0,-999.0
2013-06-26 15:00,0,-999.0,20.2,989.5,25.57,-999.0,297.54,307.26,3.56,-999.0,-999.0,-999.0
2013-06-26 16:00,0,-999.0,19.76,989.29,25.44,-999.0,296.12,302.1,3.64,-999.0,-999.0,-999.0
2013-06-26 17:00,0,-999.0,19.82,989.01,25.36,-999.0,288.36,297.09,3.36,-999.0,-999.0,-999.0
2013-06-26 18:00,0,-999.0,20.98,989.09,23.99,-999.0,228.72,224.18,3.19,-999.0,-999.0,-999.0
2013-06-26 19:00,0,-999.0,22.11,989.33,23.2,-999.0,221.99,220.56,2.48,-999.0,-999.0,-999.0
2013-06-26 20:00,0,-999.0,21.47,989.91,22.16,-999.0,224.34,224.31,2.99,-999.0,-999.0,-999.0
2013-06-26 21:00,0,-999.0,22.04,990.67,21.06,-999.0,218.34,214.5,2.89,-999.0,-999.0,-999.0
2013-06-26 22:00,0,-999.0,24.38,991.6,19.98,-999.0,198.5,189.14,2.38,-999.0,-999.0,-999.0
2013-06-26 23:00,0,-999.0,27.52,992.25,18.87,-999.0,176.49,176.21,2.72,-999.0,-999.0,-999.0
2013-06-27 00:00,0,-999.0,33.31,992.89,17.14,-999.0,157.72,151.21,2.99,-999.0,-999.0,-999.0
2013-06-27 01:00,0,-999.0,36.92,993.2,16.04,-999.0,152.59,151.47,2.27,-999.0,-999.0,-999.0
2013-06-27 02:00,0,-999.0,39.74,993.34,15.12,-999.0,148.32,148.12,2.28,-999.0,-999.0,-999.0
2013-06-27 03:00,0,-999.0,41.99,993.22,14.39,-999.0,130.25,122.1,2.31,-999.0,-999.0,-999.0
2013-06-27 04:00,0,-999.0,45.26,993.01,13.63,-999.0,119.61,114.22,1.88,-999.0,-999.0,-999.0
2013-06-27 05:00,0,-999.0,51.02,993.1,12.8,-999.0,109.39,106.02,1.7,-999.0,-999.0,-999.0
2013-06-27 06:00,0,-999.0,53.45,993.19,12.35,-999.0,108.67,107.97,1.94,-999.0,-999.0,-999.0
2013-06-27 07:00,0,-999.0,45.87,993.06,14.28,-999.0,108.71,112.48,1.53,-999.0,-999.0,-999.0
2013-06-27 08:00,0,-999.0,39.02,992.75,15.77,-999.0,104.39,103.89,2.27,-999.0,-999.0,-999.0
2013-06-27 09:00,0,-999.0,37.46,992.56,16.61,-999.0,96.6,99.72,1.49,-999.0,-999.0,-999.0
2013-06-27 10:00,0,-999.0,39.66,992.18,17.34,-999.0,314.4,311.17,1.56,-999.0,-999.0,-999.0
2013-06-27 11:00,0,-999.0,40.78,991.82,18.03,-999.0,297.22,308.71,1.33,-999.0,-999.0,-999.0
2013-06-27 12:00,0,-999.0,37.85,991.13,19.28,-999.0,296.01,301.73,2.71,-999.0,-999.0,-999.0
2013-06-27 13:00,0,-999.0,42.01,990.55,19.63,-999.0,280.9,287.92,2.46,-999.0,-999.0,-999.0
2013-06-27 14:00,0,-999.0,49.1,990.23,18.87,-999.0,278.38,278.6,2.45,-999.0,-999.0,-999.0
2013-06-27 15:00,0,-999.0,50.54,989.68,19.05,-999.0,296.4,303.29,2.33,-999.0,-999.0,-999.0
2013-06-27 16:00,0,-999.0,49.65,989.06,19.31,-999.0,284.55,292.28,2.95,-999.0,-999.0,-999.0
2013-06-27 17:00,0,-999.0,59.95,989.44,17.44,-999.0,287.9,296.65,2.68,-999.0,-999.0,-999.0
2013-06-27 18:00,0,-999.0,73.56,989.36,15.56,-999.0,171.61,170.88,1.06,-999.0,-999.0,-999.0
2013-06-27 19:00,0,-999.0,70.34,989.2,15.71,-999.0,138.15,136.69,1.61,-999.0,-999.0,-999.0
2013-06-27 20:00,0,-999.0,64.58,989.5,16.26,-999.0,126.45,120.03,2.18,-999.0,-999.0,-999.0
2013-06-27 21:00,0,-999.0,67.36,989.13,15.5,-999.0,132.75,132.43,1.9,-999.0,-999.0,-999.0
2013-06-27 22:00,0,-999.0,67.7,989.62,14.91,-999.0,148.78,138.12,2.21,-999.0,-999.0,-999.0
2013-06-27 23:00,0,-999.0,66.97,989.91,14.63,-999.0,170.98,161.03,1.08,-999.0,-999.0,-999.0
2013-06-28 00:00,0,-999.0,67.69,990.19,14.17,-999.0,180.2,181.45,0.91,-999.0,-999.0,-999.0
2013-06-28 01:00,0,-999.0,71.56,990.2,13.38,-999.0,177.94,176.87,0.72,-999.0,-999.0,-999.0
2013-06-28 02:00,0,-999.0,65.59,990.23,13.4,-999.0,168.7,166.25,1.41,-999.0,-999.0,-999.0
2013-06-28 03:00,0,-999.0,64.94,989.83,13.12,-999.0,149.16,149.31,2.09,-999.0,-999.0,-999.0
2013-06-28 04:00,0,-999.0,67.41,989.29,12.73,-999.0,144.05,148.92,2.45,-999.0,-999.0,-999.0
2013-06-28 05:00,0,-999.0,72.26,989.11,12.38,-999.0,126.39,122.32,1.66,-999.0,-999.0,-999.0
2013-06-28 06:00,0,-999.0,70.97,989.17,12.46,-999.0,124.79,122.99,1.7,-999.0,-999.0,-999.0
2013-06-28 07:00,0,-999.0,68.95,989.24,14,-999.0,108.25,106.43,1.9,-999.0,-999.0,-999.0
2013-06-28 08:00,0.02,-999.0,64.08,989.36,14.65,-999.0,120,126.96,1.4,-999.0,-999.0,-999.0
2013-06-28 09:00,0,-999.0,64.1,989.44,16.13,-999.0,324.84,317.7,1.21,-999.0,-999.0,-999.0
2013-06-28 10:00,0,-999.0,59.81,989.18,17.31,-999.0,304.34,312.15,1.53,-999.0,-999.0,-999.0
