data_e_ora,prec(mm/h),prec2(mm/h),urel(%),press(hPa),temp(C),temp2(C),dir(gradi_da_nord),dir2(gradi_da_nord),vel(m/s),vel2(m/s),radG(W/m^2),radN(W/m^2)
2013-06-26 00:00,0,-999.0,-999.0,975.76,18.02,-999.0,-999.0,-999.0,4.62,-999.0,-999.0,-999.0
2013-06-26 01:00,0,-999.0,-999.0,976.33,17.62,-999.0,-999.0,-999.0,3.23,-999.0,-999.0,-999.0
2013-06-26 02:00,0,-999.0,-999.0,976.67,17.37,-999.0,-999.0,-999.0,2.43,-999.0,-999.0,-999.0
2013-06-26 03:00,0,-999.0,-999.0,976.67,16.9,-999.0,-999.0,-999.0,3.07,-999.0,-999.0,-999.0
2013-06-26 04:00,0,-999.0,-999.0,976.7,16.02,-999.0,-999.0,-999.0,2.1,-999.0,-999.0,-999.0
2013-06-26 05:00,0,-999.0,-999.0,976.8,15.38,-999.0,-999.0,-999.0,1.92,-999.0,-999.0,-999.0
2013-06-26 06:00,0,-999.0,-999.0,976.92,15.33,-999.0,-999.0,-999.0,1.42,-999.0,-999.0,-999.0
2013-06-26 07:00,0,-999.0,-999.0,977.17,16.15,-999.0,-999.0,-999.0,1.77,-999.0,-999.0,-999.0
2013-06-26 08:00,0,-999.0,-999.0,977.4,17.7,-999.0,-999.0,-999.0,2.38,-999.0,-999.0,-999.0
2013-06-26 09:00,0,-999.0,-999.0,977.5,19.55,-999.0,-999.0,-999.0,3.48,-999.0,-999.0,-999.0
2013-06-26 10:00,0,-999.0,-999.0,977.5,20.73,-999.0,-999.0,-999.0,3.25,-999.0,-999.0,-999.0
2013-06-26 11:00,0,-999.0,-999.0,977.57,21.92,-999.0,-999.0,-999.0,1.95,-999.0,-999.0,-999.0
2013-06-26 12:00,0,-999.0,-999.0,976.58,23.72,-999.0,-999.0,-999.0,1.37,-999.0,-999.0,-999.0
2013-06-26 13:00,0,-999.0,-999.0,976,23.52,-999.0,-999.0,-999.0,1.93,-999.0,-999.0,-999.0
2013-06-26 14:00,0,-999.0,-999.0,976.15,24.5,-999.0,-999.0,-999.0,1.88,-999.0,-999.0,-999.0
2013-06-26 15:00,0,-999.0,-999.0,975.75,24.53,-999.0,-999.0,-999.0,1.62,-999.0,-999.0,-999.0
2013-06-26 16:00,0,-999.0,-999.0,976.17,24.37,-999.0,-999.0,-999.0,2.07,-999.0,-999.0,-999.0
2013-06-26 17:00,0,-999.0,-999.0,975.9,24.27,-999.0,-999.0,-999.0,2.13,-999.0,-999.0,-999.0
2013-06-26 18:00,0,-999.0,-999.0,975.53,23.83,-999.0,-999.0,-999.0,2.2,-999.0,-999.0,-999.0
2013-06-26 19:00,0,-999.0,-999.0,976.02,22.63,-999.0,-999.0,-999.0,2.82,-999.0,-999.0,-999.0
2013-06-26 20:00,0,-999.0,-999.0,976.55,21.13,-999.0,-999.0,-999.0,2.78,-999.0,-999.0,-999.0
2013-06-26 21:00,0,-999.0,-999.0,977.32,18.17,-999.0,-999.0,-999.0,1.43,-999.0,-999.0,-999.0
2013-06-26 22:00,0,-999.0,-999.0,978,15.87,-999.0,-999.0,-999.0,0.88,-999.0,-999.0,-999.0
2013-06-26 23:00,0,-999.0,-999.0,978.48,15.07,-999.0,-999.0,-999.0,1.32,-999.0,-999.0,-999.0
2013-06-27 00:00,0,-999.0,-999.0,978.86,15.02,-999.0,-999.0,-999.0,1.57,-999.0,-999.0,-999.0
2013-06-27 01:00,0,-999.0,-999.0,978.9,14.45,-999.0,-999.0,-999.0,1.67,-999.0,-999.0,-999.0
2013-06-27 02:00,0,-999.0,-999.0,978.87,14.12,-999.0,-999.0,-999.0,1.73,-999.0,-999.0,-999.0
2013-06-27 03:00,0,-999.0,-999.0,978.78,13.55,-999.0,-999.0,-999.0,1.23,-999.0,-999.0,-999.0
2013-06-27 04:00,0,-999.0,-999.0,978.55,12.23,-999.0,-999.0,-999.0,0.95,-999.0,-999.0,-999.0
2013-06-27 05:00,0,-999.0,-999.0,978.6,12.78,-999.0,-999.0,-999.0,1.27,-999.0,-999.0,-999.0
2013-06-27 06:00,0,-999.0,-999.0,978.85,13.5,-999.0,-999.0,-999.0,1.18,-999.0,-999.0,-999.0
2013-06-27 07:00,0,-999.0,-999.0,978.9,14.18,-999.0,-999.0,-999.0,1.07,-999.0,-999.0,-999.0
2013-06-27 08:00,0,-999.0,-999.0,978.87,15.63,-999.0,-999.0,-999.0,1.27,-999.0,-999.0,-999.0
2013-06-27 09:00,0,-999.0,-999.0,978.93,16.92,-999.0,-999.0,-999.0,1.48,-999.0,-999.0,-999.0
2013-06-27 10:00,0,-999.0,-999.0,978.8,16.35,-999.0,-999.0,-999.0,1.12,-999.0,-999.0,-999.0
2013-06-27 11:00,0,-999.0,-999.0,978.52,17.78,-999.0,-999.0,-999.0,1.8,-999.0,-999.0,-999.0
2013-06-27 12:00,0,-999.0,-999.0,978.08,17.67,-999.0,-999.0,-999.0,2.45,-999.0,-999.0,-999.0
2013-06-27 13:00,0,-999.0,-999.0,977.4,19.12,-999.0,-999.0,-999.0,1.68,-999.0,-999.0,-999.0
2013-06-27 14:00,1.4,-999.0,-999.0,976.97,18.23,-999.0,-999.0,-999.0,1.47,-999.0,-999.0,-999.0
2013-06-27 15:00,0.8,-999.0,-999.0,976.63,14.22,-999.0,-999.0,-999.0,2.35,-999.0,-999.0,-999.0
2013-06-27 16:00,0.6,-999.0,-999.0,976.07,14.05,-999.0,-999.0,-999.0,2.08,-999.0,-999.0,-999.0
2013-06-27 17:00,0.4,-999.0,-999.0,975.1,14.32,-999.0,-999.0,-999.0,1.92,-999.0,-999.0,-999.0
2013-06-27 18:00,0,-999.0,-999.0,975.03,16.42,-999.0,-999.0,-999.0,2.25,-999.0,-999.0,-999.0
2013-06-27 19:00,0,-999.0,-999.0,975.07,16.25,-999.0,-999.0,-999.0,1.02,-999.0,-999.0,-999.0
2013-06-27 20:00,0,-999.0,-999.0,975.38,15.92,-999.0,-999.0,-999.0,0.67,-999.0,-999.0,-999.0
2013-06-27 21:00,0,-999.0,-999.0,975.98,12.93,-999.0,-999.0,-999.0,0.97,-999.0,-999.0,-999.0
2013-06-27 22:00,0,-999.0,-999.0,976.62,11.52,-999.0,-999.0,-999.0,0.65,-999.0,-999.0,-999.0
2013-06-27 23:00,0,-999.0,-999.0,976.87,11.02,-999.0,-999.0,-999.0,0.6,-999.0,-999.0,-999.0
2013-06-28 00:00,0,-999.0,-999.0,976.9,10.27,-999.0,-999.0,-999.0,0.73,-999.0,-999.0,-999.0
2013-06-28 01:00,0,-999.0,-999.0,976.8,9.9,-999.0,-999.0,-999.0,0.45,-999.0,-999.0,-999.0
2013-06-28 02:00,0,-999.0,-999.0,976.5,9.33,-999.0,-999.0,-999.0,0.37,-999.0,-999.0,-999.0
2013-06-28 03:00,0,-999.0,-999.0,976.02,9.07,-999.0,-999.0,-999.0,0.43,-999.0,-999.0,-999.0
2013-06-28 04:00,0,-999.0,-999.0,975.32,9.55,-999.0,-999.0,-999.0,0.87,-999.0,-999.0,-999.0
2013-06-28 05:00,0,-999.0,-999.0,975.03,9.53,-999.0,-999.0,-999.0,0.87,-999.0,-999.0,-999.0
2013-06-28 06:00,0,-999.0,-999.0,975.24,9.46,-999.0,-999.0,-999.0,0.48,-999.0,-999.0,-999.0
2013-06-28 07:00,0,-999.0,-999.0,975.62,10.85,-999.0,-999.0,-999.0,1.32,-999.0,-999.0,-999.0
