data_e_ora,prec(mm/h),prec2(mm/h),urel(%),press(hPa),temp(C),temp2(C),dir(gradi_da_nord),dir2(gradi_da_nord),vel(m/s),vel2(m/s),radG(W/m^2),radN(W/m^2)
2013-07-02 00:00,0,-999.0,79,-999.0,13.5,-999.0,12.2,-999.0,1.57,-999.0,0,-999.0
2013-07-02 01:00,0,-999.0,81.5,-999.0,13.05,-999.0,11.02,-999.0,2.13,-999.0,0,-999.0
2013-07-02 02:00,0,-999.0,83.33,-999.0,12.72,-999.0,8.64,-999.0,1.38,-999.0,0,-999.0
2013-07-02 03:00,0,-999.0,86.17,-999.0,12.13,-999.0,9.88,-999.0,1.43,-999.0,0,-999.0
2013-07-02 04:00,0,-999.0,85.67,-999.0,11.75,-999.0,11.89,-999.0,0.32,-999.0,0,-999.0
2013-07-02 05:00,0,-999.0,88.33,-999.0,10.95,-999.0,12.99,-999.0,1.48,-999.0,0,-999.0
2013-07-02 06:00,0,-999.0,86.83,-999.0,11.32,-999.0,11.33,-999.0,2.07,-999.0,24.17,-999.0
2013-07-02 07:00,0,-999.0,84.5,-999.0,11.98,-999.0,14.64,-999.0,1.9,-999.0,72.5,-999.0
2013-07-02 08:00,0,-999.0,79.33,-999.0,13.95,-999.0,21.34,-999.0,1.68,-999.0,210,-999.0
2013-07-02 09:00,0,-999.0,70.5,-999.0,17.35,-999.0,175,-999.0,0.02,-999.0,544.5,-999.0
2013-07-02 10:00,0,-999.0,57.17,-999.0,21.28,-999.0,172.69,-999.0,0.62,-999.0,725.17,-999.0
2013-07-02 11:00,0,-999.0,53.83,-999.0,23.08,-999.0,194.69,-999.0,2.62,-999.0,871.17,-999.0
2013-07-02 12:00,0,-999.0,51.5,-999.0,24.38,-999.0,185.16,-999.0,3.18,-999.0,978.33,-999.0
2013-07-02 13:00,0,-999.0,50.83,-999.0,24.87,-999.0,176.38,-999.0,2.98,-999.0,813,-999.0
2013-07-02 14:00,0,-999.0,50.83,-999.0,25.13,-999.0,171.81,-999.0,3.2,-999.0,769.5,-999.0
2013-07-02 15:00,0,-999.0,51,-999.0,24.45,-999.0,165,-999.0,2.9,-999.0,507.67,-999.0
2013-07-02 16:00,0,-999.0,49.33,-999.0,25.18,-999.0,175.87,-999.0,2.75,-999.0,623.83,-999.0
2013-07-02 17:00,0,-999.0,50,-999.0,25.2,-999.0,153.18,-999.0,2.58,-999.0,513.17,-999.0
2013-07-02 18:00,0,-999.0,55.5,-999.0,23.85,-999.0,71.01,-999.0,1.33,-999.0,305.83,-999.0
2013-07-02 19:00,0,-999.0,69.5,-999.0,20,-999.0,24.12,-999.0,2.8,-999.0,67.83,-999.0
2013-07-02 20:00,0,-999.0,72.17,-999.0,18.3,-999.0,18.64,-999.0,3.08,-999.0,18,-999.0
2013-07-02 21:00,0,-999.0,72.5,-999.0,17.18,-999.0,11.41,-999.0,3.67,-999.0,0,-999.0
2013-07-02 22:00,0,-999.0,69.17,-999.0,16.88,-999.0,6.03,-999.0,4.52,-999.0,0,-999.0
2013-07-02 23:00,-999.0,-999.0,67.17,-999.0,16.8,-999.0,9.76,-999.0,3.52,-999.0,0,-999.0
2013-07-03 00:00,0,-999.0,64.67,-999.0,17.18,-999.0,8.24,-999.0,3.47,-999.0,0,-999.0
2013-07-03 01:00,0,-999.0,71,-999.0,16.45,-999.0,18.88,-999.0,0.2,-999.0,0,-999.0
2013-07-03 02:00,0.8,-999.0,84.17,-999.0,15.03,-999.0,358.56,-999.0,1.77,-999.0,0,-999.0
2013-07-03 03:00,0,-999.0,87.83,-999.0,13.9,-999.0,5.17,-999.0,2.8,-999.0,0,-999.0
2013-07-03 04:00,0,-999.0,87.83,-999.0,13.55,-999.0,356.48,-999.0,1.95,-999.0,0,-999.0
2013-07-03 05:00,0,-999.0,90.5,-999.0,13.37,-999.0,346.71,-999.0,1.15,-999.0,0,-999.0
2013-07-03 06:00,0,-999.0,91.5,-999.0,13.75,-999.0,-999.0,-999.0,0,-999.0,46.17,-999.0
2013-07-03 07:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2013-07-03 08:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2013-07-03 09:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
