data_e_ora,prec(mm/h),prec2(mm/h),urel(%),press(hPa),temp(C),temp2(C),dir(gradi_da_nord),dir2(gradi_da_nord),vel(m/s),vel2(m/s),radG(W/m^2),radN(W/m^2)
2013-07-02 00:00,0,-999.0,59.17,-999.0,20.8,-999.0,278.71,-999.0,1.12,-999.0,-999.0,-999.0
2013-07-02 01:00,0,-999.0,64.17,-999.0,19.82,-999.0,12.62,-999.0,1.55,-999.0,-999.0,-999.0
2013-07-02 02:00,0,-999.0,66.5,-999.0,18.88,-999.0,286.6,-999.0,0.95,-999.0,-999.0,-999.0
2013-07-02 03:00,0,-999.0,69.17,-999.0,18.3,-999.0,268.66,-999.0,1.3,-999.0,-999.0,-999.0
2013-07-02 04:00,0,-999.0,74.17,-999.0,17.35,-999.0,208.23,-999.0,1.9,-999.0,-999.0,-999.0
2013-07-02 05:00,0,-999.0,71.33,-999.0,17.72,-999.0,222.02,-999.0,1.78,-999.0,-999.0,-999.0
2013-07-02 06:00,0,-999.0,68.83,-999.0,18.45,-999.0,212.49,-999.0,1.98,-999.0,-999.0,-999.0
2013-07-02 07:00,0,-999.0,66.17,-999.0,19.5,-999.0,209.75,-999.0,1.93,-999.0,-999.0,-999.0
2013-07-02 08:00,0,-999.0,59.67,-999.0,21.87,-999.0,196.39,-999.0,2.27,-999.0,-999.0,-999.0
2013-07-02 09:00,0,-999.0,57.83,-999.0,22.65,-999.0,189.63,-999.0,2.42,-999.0,-999.0,-999.0
2013-07-02 10:00,0,-999.0,54.67,-999.0,24.38,-999.0,166.46,-999.0,1.37,-999.0,-999.0,-999.0
2013-07-02 11:00,0,-999.0,49.17,-999.0,26.45,-999.0,178.94,-999.0,2.3,-999.0,-999.0,-999.0
2013-07-02 12:00,0,-999.0,52.83,-999.0,25.9,-999.0,186.95,-999.0,2.8,-999.0,-999.0,-999.0
2013-07-02 13:00,0,-999.0,47.67,-999.0,26.5,-999.0,183.32,-999.0,6.03,-999.0,-999.0,-999.0
2013-07-02 14:00,0,-999.0,37,-999.0,27.93,-999.0,192.44,-999.0,1.85,-999.0,-999.0,-999.0
2013-07-02 15:00,0,-999.0,38.83,-999.0,28.17,-999.0,148.64,-999.0,1.13,-999.0,-999.0,-999.0
2013-07-02 16:00,0,-999.0,44,-999.0,27.8,-999.0,113.57,-999.0,1.33,-999.0,-999.0,-999.0
2013-07-02 17:00,0,-999.0,45.83,-999.0,27.18,-999.0,75.12,-999.0,1.78,-999.0,-999.0,-999.0
2013-07-02 18:00,0,-999.0,45.67,-999.0,27.03,-999.0,81.62,-999.0,1.27,-999.0,-999.0,-999.0
2013-07-02 19:00,0,-999.0,53.5,-999.0,25.58,-999.0,260.01,-999.0,1.02,-999.0,-999.0,-999.0
2013-07-02 20:00,0,-999.0,55.5,-999.0,24.43,-999.0,214.76,-999.0,1.17,-999.0,-999.0,-999.0
2013-07-02 21:00,0,-999.0,56,-999.0,23.35,-999.0,177.51,-999.0,1.33,-999.0,-999.0,-999.0
2013-07-02 22:00,0,-999.0,63.83,-999.0,21.78,-999.0,72.83,-999.0,0.53,-999.0,-999.0,-999.0
2013-07-02 23:00,-999.0,-999.0,66.17,-999.0,21.15,-999.0,265.33,-999.0,0.98,-999.0,-999.0,-999.0
2013-07-03 00:00,0,-999.0,67.5,-999.0,20.98,-999.0,218.63,-999.0,1.7,-999.0,-999.0,-999.0
2013-07-03 01:00,3,-999.0,69.83,-999.0,20.8,-999.0,251.4,-999.0,1.88,-999.0,-999.0,-999.0
2013-07-03 02:00,5.2,-999.0,82,-999.0,19.15,-999.0,288.37,-999.0,2.32,-999.0,-999.0,-999.0
2013-07-03 03:00,7,-999.0,85.5,-999.0,18.95,-999.0,257.36,-999.0,2.05,-999.0,-999.0,-999.0
2013-07-03 04:00,0.2,-999.0,89.33,-999.0,18.17,-999.0,221.96,-999.0,1.68,-999.0,-999.0,-999.0
2013-07-03 05:00,0.2,-999.0,90.83,-999.0,17.97,-999.0,234.62,-999.0,1.25,-999.0,-999.0,-999.0
2013-07-03 06:00,0,-999.0,91.67,-999.0,18.33,-999.0,229.92,-999.0,1.32,-999.0,-999.0,-999.0
2013-07-03 07:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2013-07-03 08:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2013-07-03 09:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
