data_e_ora,prec(mm/h),prec2(mm/h),urel(%),press(hPa),temp(C),temp2(C),dir(gradi_da_nord),dir2(gradi_da_nord),vel(m/s),vel2(m/s),radG(W/m^2),radN(W/m^2)
2013-07-02 00:00,0,0,53.5,-999.0,20.75,-999.0,355.1,-999.0,2.2,-999.0,0,-999.0
2013-07-02 01:00,0,0,54.5,-999.0,19.93,-999.0,331.81,-999.0,2.95,-999.0,0,-999.0
2013-07-02 02:00,0,0,59.67,-999.0,19.55,-999.0,7.51,-999.0,3.18,-999.0,0,-999.0
2013-07-02 03:00,0,0,75.83,-999.0,18.93,-999.0,59.41,-999.0,3.08,-999.0,0,-999.0
2013-07-02 04:00,0,0,84.5,-999.0,17.97,-999.0,82.38,-999.0,2.17,-999.0,0,-999.0
2013-07-02 05:00,0,0,87.67,-999.0,17.52,-999.0,64.79,-999.0,1.95,-999.0,0,-999.0
2013-07-02 06:00,0,0,87.33,-999.0,17.9,-999.0,24.55,-999.0,2.03,-999.0,61,-999.0
2013-07-02 07:00,0,0,80.83,-999.0,19.95,-999.0,15.99,-999.0,2.12,-999.0,230.17,-999.0
2013-07-02 08:00,0,0,71.17,-999.0,22.18,-999.0,34.77,-999.0,1.68,-999.0,380,-999.0
2013-07-02 09:00,0,0,66.33,-999.0,23.7,-999.0,82.18,-999.0,1.45,-999.0,489.5,-999.0
2013-07-02 10:00,0,0,60,-999.0,25.32,-999.0,105.29,-999.0,1.77,-999.0,737.17,-999.0
2013-07-02 11:00,0,0,56.33,-999.0,26.4,-999.0,28.62,-999.0,1.32,-999.0,852.17,-999.0
2013-07-02 12:00,0,0,51.33,-999.0,27.85,-999.0,342.47,-999.0,1.22,-999.0,917.5,-999.0
2013-07-02 13:00,0,0,49.17,-999.0,28.92,-999.0,291.5,-999.0,1.58,-999.0,926,-999.0
2013-07-02 14:00,0,0,45.17,-999.0,29.7,-999.0,312.38,-999.0,1.05,-999.0,892.83,-999.0
2013-07-02 15:00,0,0,44.83,-999.0,29.62,-999.0,337.32,-999.0,1.35,-999.0,813.83,-999.0
2013-07-02 16:00,0,0,42.67,-999.0,30.13,-999.0,358.45,-999.0,1.35,-999.0,560,-999.0
2013-07-02 17:00,0,0,42.67,-999.0,29.78,-999.0,16.47,-999.0,1.42,-999.0,383.17,-999.0
2013-07-02 18:00,0,0,42.5,-999.0,29.72,-999.0,31.41,-999.0,0.97,-999.0,326.33,-999.0
2013-07-02 19:00,0,0,48.67,-999.0,28.13,-999.0,305.4,-999.0,1.28,-999.0,112,-999.0
2013-07-02 20:00,0,0,50,-999.0,26.15,-999.0,278.48,-999.0,2.97,-999.0,26,-999.0
2013-07-02 21:00,0,0,54,-999.0,23.58,-999.0,309.63,-999.0,-999.0,-999.0,0,-999.0
2013-07-02 22:00,0,0,53,-999.0,22.82,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0
2013-07-02 23:00,0,0,54.67,-999.0,21.63,-999.0,308,-999.0,-999.0,-999.0,0,-999.0
2013-07-03 00:00,0,0,57.67,-999.0,21.3,-999.0,321.38,-999.0,2.87,-999.0,0,-999.0
2013-07-03 01:00,0,0,64.33,-999.0,20.13,-999.0,324.58,-999.0,2.73,-999.0,0,-999.0
2013-07-03 02:00,0,0,61.67,-999.0,19.67,-999.0,316.98,-999.0,2.53,-999.0,0,-999.0
2013-07-03 03:00,0,0,59.17,-999.0,19.4,-999.0,311.74,-999.0,2.22,-999.0,0,-999.0
2013-07-03 04:00,0,0,53.33,-999.0,19.62,-999.0,281.01,-999.0,2.5,-999.0,0,-999.0
2013-07-03 05:00,0,0,59.17,-999.0,18.83,-999.0,287.78,-999.0,2.75,-999.0,0,-999.0
2013-07-03 06:00,0,0,66.5,-999.0,19.22,-999.0,308.82,-999.0,2.88,-999.0,47.83,-999.0
2013-07-03 07:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2013-07-03 08:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2013-07-03 09:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
