data_e_ora,prec(mm/h),prec2(mm/h),urel(%),press(hPa),temp(C),temp2(C),dir(gradi_da_nord),dir2(gradi_da_nord),vel(m/s),vel2(m/s),radG(W/m^2),radN(W/m^2)
2013-07-02 00:00,0,-999.0,54.23,-999.0,21.11,-999.0,73.46,71.67,1.4,-999.0,0,-999.0
2013-07-02 01:00,0,-999.0,58.86,-999.0,20.07,-999.0,32.69,23.21,1.57,-999.0,0,-999.0
2013-07-02 02:00,0,-999.0,59.04,-999.0,19.8,-999.0,7.24,15.82,1.6,-999.0,0,-999.0
2013-07-02 03:00,0,-999.0,61.37,-999.0,19.2,-999.0,31.87,39.71,1.91,-999.0,0,-999.0
2013-07-02 04:00,0,-999.0,63,-999.0,18.7,-999.0,359.96,4.52,1.52,-999.0,0,-999.0
2013-07-02 05:00,0,-999.0,63.59,-999.0,18.39,-999.0,346.59,324.31,0.93,-999.0,1.39,-999.0
2013-07-02 06:00,0,-999.0,66.77,-999.0,18.01,-999.0,40.24,93.83,0.71,-999.0,36.82,-999.0
2013-07-02 07:00,0,-999.0,67.6,-999.0,19.37,-999.0,90.47,84.99,0.78,-999.0,140.17,-999.0
2013-07-02 08:00,0,-999.0,58.56,-999.0,22.07,-999.0,125.89,114.48,0.82,-999.0,326.13,-999.0
2013-07-02 09:00,0,-999.0,51.58,-999.0,23.95,-999.0,175.9,98.44,0.97,-999.0,497.68,-999.0
2013-07-02 10:00,0,-999.0,45.25,-999.0,25.66,-999.0,199.82,187.58,1.07,-999.0,660.5,-999.0
2013-07-02 11:00,0,-999.0,40.13,-999.0,26.97,-999.0,215.07,223.42,1.32,-999.0,796.77,-999.0
2013-07-02 12:00,0,-999.0,40,-999.0,28.24,-999.0,209.35,226.21,1.39,-999.0,865.77,-999.0
2013-07-02 13:00,0,-999.0,37.67,-999.0,29.3,-999.0,195.1,187.42,1.66,-999.0,890.75,-999.0
2013-07-02 14:00,0,-999.0,35.44,-999.0,29.65,-999.0,188.07,182.86,1.91,-999.0,861.52,-999.0
2013-07-02 15:00,0,-999.0,32.86,-999.0,30.52,-999.0,171.71,170.52,1.95,-999.0,796.02,-999.0
2013-07-02 16:00,0,-999.0,30.79,-999.0,30.99,-999.0,213.87,216.33,1.94,-999.0,696.19,-999.0
2013-07-02 17:00,0,-999.0,30.3,-999.0,30.78,-999.0,198.25,188.66,1.72,-999.0,544.88,-999.0
2013-07-02 18:00,0,-999.0,31.11,-999.0,30.06,-999.0,174.11,173.24,1.85,-999.0,359.01,-999.0
2013-07-02 19:00,0,-999.0,35.22,-999.0,27.89,-999.0,175.87,180.65,1.47,-999.0,94.01,-999.0
2013-07-02 20:00,0,-999.0,41.52,-999.0,25.89,-999.0,344.92,347.36,1.16,-999.0,29.49,-999.0
2013-07-02 21:00,0,-999.0,48.35,-999.0,23.66,-999.0,25.59,33.98,1.87,-999.0,1.43,-999.0
2013-07-02 22:00,0,-999.0,49.24,-999.0,23.34,-999.0,37.79,39.73,2.35,-999.0,0.28,-999.0
2013-07-02 23:00,0,-999.0,50.04,-999.0,22.98,-999.0,21.55,11.22,1.3,-999.0,0.37,-999.0
2013-07-03 00:00,0,-999.0,52.13,-999.0,22.43,-999.0,18.21,29.45,1.62,-999.0,0.37,-999.0
2013-07-03 01:00,0,-999.0,52.53,-999.0,22.18,-999.0,46.9,43.93,1.34,-999.0,0.34,-999.0
2013-07-03 02:00,0,-999.0,54.4,-999.0,21.53,-999.0,95.39,93.6,1.04,-999.0,0.33,-999.0
2013-07-03 03:00,0,-999.0,57.62,-999.0,20.81,-999.0,122.55,118.16,0.79,-999.0,0.35,-999.0
2013-07-03 04:00,0,-999.0,61.97,-999.0,20.22,-999.0,125.31,112.94,0.8,-999.0,0.37,-999.0
2013-07-03 05:00,0,-999.0,64.74,-999.0,19.64,-999.0,7.43,8.98,0.84,-999.0,1.58,-999.0
2013-07-03 06:00,0,-999.0,61.59,-999.0,19.75,-999.0,312.48,317.31,1.09,-999.0,35.01,-999.0
2013-07-03 07:00,0,-999.0,63.6,-999.0,19.95,-999.0,106.37,87.74,1.16,-999.0,76.12,-999.0
2013-07-03 08:00,0,-999.0,63.44,-999.0,21.63,-999.0,85.43,82.68,1.18,-999.0,287.28,-999.0
2013-07-03 09:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
