data_e_ora,prec(mm/h),prec2(mm/h),urel(%),press(hPa),temp(C),temp2(C),dir(gradi_da_nord),dir2(gradi_da_nord),vel(m/s),vel2(m/s),radG(W/m^2),radN(W/m^2)
2013-07-02 00:00,0,-999.0,28.43,-999.0,21.17,-999.0,255.31,256.47,1.03,-999.0,-999.0,-999.0
2013-07-02 01:00,0,-999.0,36.06,-999.0,19.64,-999.0,312.12,348.25,0.37,-999.0,-999.0,-999.0
2013-07-02 02:00,0,-999.0,39.12,-999.0,19.12,-999.0,51.47,30.63,0.49,-999.0,-999.0,-999.0
2013-07-02 03:00,0,-999.0,46.93,-999.0,18.19,-999.0,312.84,274.79,0.3,-999.0,-999.0,-999.0
2013-07-02 04:00,0,-999.0,49.21,-999.0,17.62,-999.0,308.25,320.31,0.25,-999.0,-999.0,-999.0
2013-07-02 05:00,0,-999.0,54.04,-999.0,17.4,-999.0,173.9,148.56,0.14,-999.0,-999.0,-999.0
2013-07-02 06:00,0,-999.0,57.03,-999.0,17.6,-999.0,335.99,347.18,0.07,-999.0,-999.0,-999.0
2013-07-02 07:00,0,-999.0,57.85,-999.0,19.53,-999.0,142.29,120.62,0.56,-999.0,-999.0,-999.0
2013-07-02 08:00,0,-999.0,52.47,-999.0,20.77,-999.0,145.12,134.51,0.96,-999.0,-999.0,-999.0
2013-07-02 09:00,0,-999.0,47.76,-999.0,21.88,-999.0,145.03,136.81,1.28,-999.0,-999.0,-999.0
2013-07-02 10:00,0,-999.0,41.35,-999.0,23.14,-999.0,132.86,118.88,0.95,-999.0,-999.0,-999.0
2013-07-02 11:00,0,-999.0,28.63,-999.0,25.62,-999.0,888,154.53,0.81,-999.0,-999.0,-999.0
2013-07-02 12:00,0,-999.0,20.75,-999.0,27.33,-999.0,211.05,206.31,1.55,-999.0,-999.0,-999.0
2013-07-02 13:00,0,-999.0,16.6,-999.0,28.04,-999.0,162.58,171.25,1.87,-999.0,-999.0,-999.0
2013-07-02 14:00,0,-999.0,14.8,-999.0,28.39,-999.0,157.74,156.65,1.98,-999.0,-999.0,-999.0
2013-07-02 15:00,0,-999.0,16.66,-999.0,28.6,-999.0,191.48,200.68,1.54,-999.0,-999.0,-999.0
2013-07-02 16:00,0,-999.0,17.56,-999.0,28.86,-999.0,154.6,168.87,1.98,-999.0,-999.0,-999.0
2013-07-02 17:00,0,-999.0,14.79,-999.0,29.14,-999.0,166.55,193.1,1.28,-999.0,-999.0,-999.0
2013-07-02 18:00,0,-999.0,16.23,-999.0,28.77,-999.0,152.64,166.52,1.66,-999.0,-999.0,-999.0
2013-07-02 19:00,0,-999.0,18.06,-999.0,27.87,-999.0,197.15,215.65,1.48,-999.0,-999.0,-999.0
2013-07-02 20:00,0,-999.0,20.75,-999.0,25.75,-999.0,239.5,235.27,2.62,-999.0,-999.0,-999.0
2013-07-02 21:00,0,-999.0,19.15,-999.0,24.53,-999.0,254.01,261.42,1.81,-999.0,-999.0,-999.0
2013-07-02 22:00,0,-999.0,23.46,-999.0,23.23,-999.0,292.73,289.33,0.93,-999.0,-999.0,-999.0
2013-07-02 23:00,0,-999.0,26.89,-999.0,22.45,-999.0,296.07,291.83,0.71,-999.0,-999.0,-999.0
2013-07-03 00:00,0,-999.0,29.61,-999.0,21.68,-999.0,301.92,300.92,0.74,-999.0,-999.0,-999.0
2013-07-03 01:00,0,-999.0,32.84,-999.0,21.01,-999.0,309.81,309.83,0.58,-999.0,-999.0,-999.0
2013-07-03 02:00,0,-999.0,34.37,-999.0,20.69,-999.0,9.77,16.81,0.65,-999.0,-999.0,-999.0
2013-07-03 03:00,0,-999.0,36.72,-999.0,19.83,-999.0,183.6,189.89,0.36,-999.0,-999.0,-999.0
2013-07-03 04:00,0,-999.0,41.96,-999.0,19.01,-999.0,279.48,237.03,0.22,-999.0,-999.0,-999.0
2013-07-03 05:00,0,-999.0,45.92,-999.0,18.54,-999.0,299.7,281.76,0.1,-999.0,-999.0,-999.0
2013-07-03 06:00,0,-999.0,48.59,-999.0,18.56,-999.0,309.14,266.03,0.37,-999.0,-999.0,-999.0
2013-07-03 07:00,0,-999.0,38.29,-999.0,20.48,-999.0,189.84,208.33,0.66,-999.0,-999.0,-999.0
2013-07-03 08:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2013-07-03 09:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
