data_e_ora,prec(mm/h),prec2(mm/h),urel(%),press(hPa),temp(C),temp2(C),dir(gradi_da_nord),dir2(gradi_da_nord),vel(m/s),vel2(m/s),radG(W/m^2),radN(W/m^2)
2013-07-02 00:00,-999.0,-999.0,76.2,-999.0,4.92,4.18,175.97,175.2,3.17,3.08,0,-62.8
2013-07-02 01:00,-999.0,-999.0,79.5,-999.0,5.3,4.48,171.62,169.56,1.95,2.1,0,-58.5
2013-07-02 02:00,-999.0,-999.0,83,-999.0,5.33,4.32,181.29,175.6,2.3,2.33,0,-62.5
2013-07-02 03:00,-999.0,-999.0,90.33,-999.0,5.1,4.23,184.94,183.66,1.87,1.85,0,-54.17
2013-07-02 04:00,-999.0,-999.0,91,-999.0,5.17,4.38,191.89,194.42,1.42,1.4,0,-44.33
2013-07-02 05:00,-999.0,-999.0,91,-999.0,4.88,4.37,277.77,277.84,0.7,0.87,0,-35.5
2013-07-02 06:00,-999.0,-999.0,88.83,-999.0,5.13,4.78,312.31,313.03,0.9,1.02,53.17,3.83
2013-07-02 07:00,-999.0,-999.0,84.83,-999.0,6.07,6,329.53,322.09,1.78,1.75,213.5,69.67
2013-07-02 08:00,-999.0,-999.0,72,-999.0,8.88,9.2,69.79,68.55,0.9,1.32,394.17,199
2013-07-02 09:00,-999.0,-999.0,68.33,-999.0,9.92,10.97,106.24,106.44,3.2,3.47,692.5,316.17
2013-07-02 10:00,-999.0,-999.0,57,-999.0,11.32,12.53,113.2,110.11,2.2,2.38,713.17,393.33
2013-07-02 11:00,-999.0,-999.0,52.2,-999.0,11.5,12.58,126.04,118.33,3.16,3.62,565.4,308.6
2013-07-02 12:00,-999.0,-999.0,54.5,-999.0,11.57,12.92,113.87,107.94,5.25,5.48,789.33,382.5
2013-07-02 13:00,-999.0,-999.0,53.5,-999.0,11.75,12.9,121.8,120.47,5.92,6.18,703.83,378.67
2013-07-02 14:00,-999.0,-999.0,53.17,-999.0,11.93,13.1,120.69,113.11,7.12,7.33,839.17,411.5
2013-07-02 15:00,-999.0,-999.0,51.5,-999.0,12.48,13.53,118.99,116.21,7.87,8.05,789.33,405.17
2013-07-02 16:00,-999.0,-999.0,53.17,-999.0,12.27,12.7,126.18,120.84,7.87,7.73,421.83,202
2013-07-02 17:00,-999.0,-999.0,53,-999.0,12.67,13.32,132.66,130.89,6.77,6.5,610.33,336.83
2013-07-02 18:00,-999.0,-999.0,52.67,-999.0,12.58,13.12,147.09,145.78,5.95,5.97,396.83,186.67
2013-07-02 19:00,-999.0,-999.0,55.67,-999.0,11.47,11.68,185.76,180.69,4.6,5.05,97.83,-6.67
2013-07-02 20:00,-999.0,-999.0,61,-999.0,10.38,10.12,159.73,156.08,4.72,5.25,24.33,-44.33
2013-07-02 21:00,-999.0,-999.0,67.83,-999.0,9.5,9,138.9,132.49,6.28,6.25,0,-57.67
2013-07-02 22:00,-999.0,-999.0,79.5,-999.0,8.6,8.25,133.29,125.33,6.23,5.97,0,-47
2013-07-02 23:00,-999.0,-999.0,82.83,-999.0,8.07,7.77,108.33,101.37,5.58,5.75,0,-33
2013-07-03 00:00,-999.0,-999.0,86.4,-999.0,7.64,7.38,102.15,97.46,5.02,4.98,0,-15.8
2013-07-03 01:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2013-07-03 02:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2013-07-03 03:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2013-07-03 04:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2013-07-03 05:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2013-07-03 06:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2013-07-03 07:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2013-07-03 08:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2013-07-03 09:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
